LeadID,LeadName,Email,Phone,LeadSource,Status,CreatedDate
L1159,Lead_159,lead159@mail.com,9876500159,Referral,Qualified,2023-06-03
L1160,Lead_160,lead160@mail.com,9876500160,Web,Working,2023-02-20
L1161,Lead_161,,9876500161,Web,Working,2023-08-03
L1162,Lead_162,lead162@mail.com,,Email Campaign,New,2023-09-24
L1163,Lead_163,lead163@mail.com,9876500163,Event,,2023-09-27
L1164,Lead_164,lead164@mail.com,9876500164,,Working,2023-05-27
L1165,Lead_165,lead165@mail.com,9876500165,LinkedIn,Working,2023-09-28
L1166,Lead_166,lead166@mail.com,9876500166,Email Campaign,Qualified,2023-04-09
L1167,Lead_167,lead167@mail.com,9876500167,Referral,Working,2023-01-13
L1168,Lead_168,,9876500168,LinkedIn,,2023-05-19
L1169,Lead_169,lead169@mail.com,9876500169,Web,Disqualified,2023-10-20
L1170,Lead_170,lead170@mail.com,9876500170,Email Campaign,Working,2023-06-25
L1171,Lead_171,lead171@mail.com,,Web,Qualified,2023-07-08
L1172,Lead_172,lead172@mail.com,9876500172,Email Campaign,Disqualified,2023-07-11
L1173,Lead_173,lead173@mail.com,9876500173,,Disqualified,2023-08-06
L1174,Lead_174,lead174@mail.com,9876500174,Referral,Qualified,2023-01-05
L1175,Lead_175,,9876500175,Web,New,2023-08-09
L1176,Lead_176,lead176@mail.com,9876500176,Web,Working,2023-01-28
L1177,Lead_177,lead177@mail.com,9876500177,Event,Qualified,2023-03-14
L1178,Lead_178,lead178@mail.com,9876500178,,New,2023-10-20
L1179,Lead_179,lead179@mail.com,9876500179,LinkedIn,,2023-09-11
L1180,Lead_180,lead180@mail.com,,Web,Qualified,2023-04-24
L1181,Lead_181,lead181@mail.com,9876500181,LinkedIn,,2023-05-31
L1182,Lead_182,,9876500182,Event,,2023-09-24
L1183,Lead_183,lead183@mail.com,9876500183,,Disqualified,2023-08-21
L1184,Lead_184,lead184@mail.com,9876500184,LinkedIn,,2023-08-06
L1185,Lead_185,lead185@mail.com,9876500185,LinkedIn,Disqualified,2023-05-12
L1186,Lead_186,lead186@mail.com,9876500186,,New,2023-08-03
L1187,Lead_187,lead187@mail.com,9876500187,Event,Working,2023-01-27
L1188,Lead_188,lead188@mail.com,9876500188,Email Campaign,Qualified,2023-05-04
L1189,Lead_189,,,LinkedIn,New,2023-05-03
L1190,Lead_190,lead190@mail.com,9876500190,Referral,Working,2023-07-20
L1191,Lead_191,lead191@mail.com,9876500191,LinkedIn,Disqualified,2023-03-15
L1192,Lead_192,lead192@mail.com,9876500192,LinkedIn,Working,2023-01-03
L1193,Lead_193,lead193@mail.com,9876500193,LinkedIn,,2023-06-30
L1194,Lead_194,lead194@mail.com,9876500194,,Disqualified,2023-07-06
L1195,Lead_195,lead195@mail.com,9876500195,,Working,2023-07-24
L1196,Lead_196,,9876500196,Email Campaign,Disqualified,2023-10-01
L1197,Lead_197,lead197@mail.com,9876500197,Event,Working,2023-10-05
L1198,Lead_198,lead198@mail.com,,LinkedIn,Working,2023-02-17
L1199,Lead_199,lead199@mail.com,9876500199,,Working,2023-05-30
